index,actuarialyear,strike,max_indemnities,min_indemnities,max_frequencies,min_frequencies,max_pcfs,min_pcfs,max_nets,min_nets,max_lossratios,min_lossratios
NOAA,2017,0.7,5075.803529818976,19.713757488859898,156.0,4.0,0.4375216837485197,0.0038724505927807988,3732.9319263624684,-401.7989630570993,3.76,0.03
NOAA,2017,0.75,5739.323679055586,25.367208783217475,162.0,8.0,0.4583111595099435,0.008617310943998821,4300.532675352181,-370.346149019511,4.63,0.04
NOAA,2017,0.8,6449.95712447999,36.32477575666277,170.0,12.0,0.47791257385809005,0.011568400063045287,4803.264897882469,-423.2946198452939,5.53,0.06
NOAA,2017,0.85,7216.596287232779,48.9247374381603,176.0,13.0,0.4957941441102841,0.015068396567135675,5649.871099693448,-432.49912750593586,6.5,0.07
NOAA,2017,0.9,8036.702436333117,59.582030067524755,179.0,17.0,0.5125651709654566,0.018602862636728678,6467.499990415533,-486.29887953130384,7.54,0.09
NOAA,2018,0.7,3921.981670907602,20.91810049325073,156.0,4.0,0.4375216837485197,0.0038724505927807988,2871.023570434094,-408.0921274293745,3.81,0.03
NOAA,2018,0.75,4434.671700830147,28.437126731554223,162.0,8.0,0.4583111595099435,0.008617310943998821,3308.6451646085306,-324.75338080908784,4.69,0.04
NOAA,2018,0.8,4983.765323409314,40.72076910451829,170.0,12.0,0.47791257385809005,0.011568400063045287,3665.4903541742515,-344.71269865963285,5.6,0.05
NOAA,2018,0.85,5576.133551779975,58.037971805788146,176.0,13.0,0.4957941441102841,0.015068396567135675,4175.466396967721,-353.0771678177414,6.58,0.07
NOAA,2018,0.9,6209.8147543865,74.16968241449283,179.0,17.0,0.5125651709654566,0.018602862636728678,4691.835463154283,-397.64396461485563,7.75,0.08
PDSI,2017,0.7,5075.803529818976,19.713757488859898,156.0,4.0,0.4375216837485197,0.0038724505927807988,3732.9319263624684,-401.7989630570993,3.76,0.03
PDSI,2017,0.75,5739.323679055586,25.367208783217475,162.0,8.0,0.4583111595099435,0.008617310943998821,4300.532675352181,-370.346149019511,4.63,0.04
PDSI,2017,0.8,6449.95712447999,36.32477575666277,170.0,12.0,0.47791257385809005,0.011568400063045287,4803.264897882469,-423.2946198452939,5.53,0.06
PDSI,2017,0.85,7216.596287232779,48.9247374381603,176.0,13.0,0.4957941441102841,0.015068396567135675,5649.871099693448,-432.49912750593586,6.5,0.07
PDSI,2017,0.9,8036.702436333117,59.582030067524755,179.0,17.0,0.5125651709654566,0.018602862636728678,6467.499990415533,-486.29887953130384,7.54,0.09
PDSI,2018,0.7,3921.981670907602,20.91810049325073,156.0,4.0,0.4375216837485197,0.0038724505927807988,2871.023570434094,-408.0921274293745,3.81,0.03
PDSI,2018,0.75,4434.671700830147,28.437126731554223,162.0,8.0,0.4583111595099435,0.008617310943998821,3308.6451646085306,-324.75338080908784,4.69,0.04
PDSI,2018,0.8,4983.765323409314,40.72076910451829,170.0,12.0,0.47791257385809005,0.011568400063045287,3665.4903541742515,-344.71269865963285,5.6,0.05
PDSI,2018,0.85,5576.133551779975,58.037971805788146,176.0,13.0,0.4957941441102841,0.015068396567135675,4175.466396967721,-353.0771678177414,6.58,0.07
PDSI,2018,0.9,6209.8147543865,74.16968241449283,179.0,17.0,0.5125651709654566,0.018602862636728678,4691.835463154283,-397.64396461485563,7.75,0.08
PDSIsc,2017,0.7,5075.803529818976,19.713757488859898,156.0,4.0,0.4375216837485197,0.0038724505927807988,3732.9319263624684,-401.7989630570993,3.76,0.03
PDSIsc,2017,0.75,5739.323679055586,25.367208783217475,162.0,8.0,0.4583111595099435,0.008617310943998821,4300.532675352181,-370.346149019511,4.63,0.04
PDSIsc,2017,0.8,6449.95712447999,36.32477575666277,170.0,12.0,0.47791257385809005,0.011568400063045287,4803.264897882469,-423.2946198452939,5.53,0.06
PDSIsc,2017,0.85,7216.596287232779,48.9247374381603,176.0,13.0,0.4957941441102841,0.015068396567135675,5649.871099693448,-432.49912750593586,6.5,0.07
PDSIsc,2017,0.9,8036.702436333117,59.582030067524755,179.0,17.0,0.5125651709654566,0.018602862636728678,6467.499990415533,-486.29887953130384,7.54,0.09
PDSIsc,2018,0.7,3921.981670907602,20.91810049325073,156.0,4.0,0.4375216837485197,0.0038724505927807988,2871.023570434094,-408.0921274293745,3.81,0.03
PDSIsc,2018,0.75,4434.671700830147,28.437126731554223,162.0,8.0,0.4583111595099435,0.008617310943998821,3308.6451646085306,-324.75338080908784,4.69,0.04
PDSIsc,2018,0.8,4983.765323409314,40.72076910451829,170.0,12.0,0.47791257385809005,0.011568400063045287,3665.4903541742515,-344.71269865963285,5.6,0.05
PDSIsc,2018,0.85,5576.133551779975,58.037971805788146,176.0,13.0,0.4957941441102841,0.015068396567135675,4175.466396967721,-353.0771678177414,6.58,0.07
PDSIsc,2018,0.9,6209.8147543865,74.16968241449283,179.0,17.0,0.5125651709654566,0.018602862636728678,4691.835463154283,-397.64396461485563,7.75,0.08
PDSIz,2017,0.7,5075.803529818976,19.713757488859898,156.0,4.0,0.4375216837485197,0.0038724505927807988,3732.9319263624684,-401.7989630570993,3.76,0.03
PDSIz,2017,0.75,5739.323679055586,25.367208783217475,162.0,8.0,0.4583111595099435,0.008617310943998821,4300.532675352181,-370.346149019511,4.63,0.04
PDSIz,2017,0.8,6449.95712447999,36.32477575666277,170.0,12.0,0.47791257385809005,0.011568400063045287,4803.264897882469,-423.2946198452939,5.53,0.06
PDSIz,2017,0.85,7216.596287232779,48.9247374381603,176.0,13.0,0.4957941441102841,0.015068396567135675,5649.871099693448,-432.49912750593586,6.5,0.07
