i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
0,NOAA,2017,0.541589472,0.7,69,69,1,2194.875222,83.24131421,491.4097764,526.474214,258.8075799,183.038221,0.103685173,0.057792996,0.033752703,231.4377316,1.485610966
1,NOAA,2017,0.541589472,0.75,69,69,1,2588.498176,102.4225618,622.602717,664.4484667,322.3374494,203.989062,0.118138772,0.058560814,0.0345388,264.2629868,1.418913547
2,NOAA,2017,0.541589472,0.8,69,69,1,3020.245964,123.3417693,777.3375424,825.6461365,404.2678402,223.0514151,0.13350878,0.058734656,0.034951779,297.973535,1.328438217
3,NOAA,2017,0.541589472,0.85,69,69,1,3501.027645,146.2313476,957.3825778,1010.840163,506.6076805,239.6222873,0.149679363,0.058338234,0.034999872,332.0405293,1.227089892
4,NOAA,2017,0.541589472,0.9,69,69,1,4022.306586,171.3636882,1163.313283,1220.424144,630.4210861,253.2866283,0.166533478,0.057412009,0.034705628,366.1895652,1.121468805
5,NOAA,2017,0.541589472,0.7,69,49,1,2540.440267,66.61905985,442.7448307,483.9823039,256.196659,177.5208238,0.095012622,0.055698555,0.032984197,153.9506994,1.122462816
6,NOAA,2017,0.541589472,0.75,69,49,1,2969.374924,82.41731161,563.2177914,614.0787764,317.3220722,198.8300389,0.108689291,0.056478412,0.033880909,176.6795463,1.100615274
7,NOAA,2017,0.541589472,0.8,69,49,1,3439.032415,100.4610654,707.9450013,766.8863166,396.0681542,218.8367911,0.123313282,0.056691007,0.034453809,200.2155766,1.068761455
8,NOAA,2017,0.541589472,0.85,69,49,1,3960.792653,121.0053417,876.1080887,943.2587933,494.5953322,237.0959901,0.138777414,0.056364167,0.034714291,224.0891493,1.032797923
9,NOAA,2017,0.541589472,0.9,69,49,1,4528.649084,144.5187442,1067.729197,1143.689613,614.1039175,253.3591282,0.154971159,0.055539284,0.034691194,248.1573535,0.995995319
10,NOAA,2017,0.541589472,0.7,69,29,1,3424.232748,35.91774502,442.4756971,489.7511216,282.533471,214.2866019,0.096510534,0.061477918,0.040348341,92.58971645,0.882088293
11,NOAA,2017,0.541589472,0.75,69,29,1,3909.429104,49.50412346,565.1189332,620.9950263,346.5680184,241.2331883,0.110251852,0.062688302,0.041835695,106.1389036,0.885422499
12,NOAA,2017,0.541589472,0.8,69,29,1,4438.596036,64.51604282,707.7172267,775.0975184,427.7889174,267.3146511,0.12493238,0.063349343,0.042999304,120.1714178,0.87997681
13,NOAA,2017,0.541589472,0.85,69,29,1,5015.270763,84.9511925,871.2551966,952.8763057,528.5052065,292.1071342,0.140442748,0.063490946,0.043848271,134.3689225,0.869380907
14,NOAA,2017,0.541589472,0.9,69,29,1,5637.924842,101.6796942,1056.502701,1154.722728,650.0523525,315.3961769,0.156667633,0.063160129,0.044409469,148.6377316,0.855048955
15,NOAA,2017,0.541589472,0.7,69,9,1,7328.087215,0,410.298076,472.2679547,334.4696182,322.565366,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
16,NOAA,2017,0.541589472,0.75,69,9,1,8115.635283,6.578486896,526.1342933,598.1281939,399.4433216,371.292615,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
17,NOAA,2017,0.541589472,0.8,69,9,1,8947.51998,21.16075398,659.6710157,746.6423949,478.7009367,421.1840104,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
18,NOAA,2017,0.541589472,0.85,69,9,1,9809.395426,28.34023215,811.1516232,918.735021,575.2261543,471.6171695,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
19,NOAA,2017,0.541589472,0.9,69,9,1,10703.51838,36.832136,983.2849791,1115.138648,691.5682493,522.0358788,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
20,NOAA,2018,0.541589472,0.7,69,69,1,5662.280577,0,409.9296628,479.1978069,322.2993203,319.9919843,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
21,NOAA,2018,0.541589472,0.75,69,69,1,6270.804738,7.932528239,531.7956047,605.5424002,385.5448687,367.8925301,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
22,NOAA,2018,0.541589472,0.8,69,69,1,6913.587012,36.06525732,668.6282764,754.1229974,461.6511652,416.95646,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
23,NOAA,2018,0.541589472,0.85,69,69,1,7579.542596,46.39572498,837.5833734,925.7882632,553.1152387,466.5452522,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
24,NOAA,2018,0.541589472,0.9,69,69,1,8270.415243,57.7001384,1028.115745,1121.236375,662.0810163,516.1572588,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
25,NOAA,2018,0.541589472,0.7,69,49,1,5662.280577,0,409.9296628,479.1978069,322.2993203,319.9919843,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
26,NOAA,2018,0.541589472,0.75,69,49,1,6270.804738,7.932528239,531.7956047,605.5424002,385.5448687,367.8925301,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
27,NOAA,2018,0.541589472,0.8,69,49,1,6913.587012,36.06525732,668.6282764,754.1229974,461.6511652,416.95646,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
28,NOAA,2018,0.541589472,0.85,69,49,1,7579.542596,46.39572498,837.5833734,925.7882632,553.1152387,466.5452522,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
29,NOAA,2018,0.541589472,0.9,69,49,1,8270.415243,57.7001384,1028.115745,1121.236375,662.0810163,516.1572588,0.155816338,0.078434517,0.070584945,47.59538752,0.520053431
30,NOAA,2018,0.541589472,0.7,69,29,1,5662.280577,0,409.9296628,479.1978069,322.2993203,319.9919843,0.096650554,0.071864077,0.059960501,29.59720227,0.478268621
31,NOAA,2018,0.541589472,0.75,69,29,1,6270.804738,7.932528239,531.7956047,605.5424002,385.5448687,367.8925301,0.11012857,0.074266478,0.063114828,33.92589792,0.494754109
32,NOAA,2018,0.541589472,0.8,69,29,1,6913.587012,36.06525732,668.6282764,754.1229974,461.6511652,416.95646,0.12455209,0.076149195,0.065945559,38.41466919,0.50677785
33,NOAA,2018,0.541589472,0.85,69,29,1,7579.542596,46.39572498,837.5833734,925.7882632,553.1152387,466.5452522,0.139815033,0.07752969,0.068435306,42.96483932,0.515002231
