i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
0,NOAA,2017,0.54,0.7,68,69,1.0,2206.77,82.81,490.4,525.33,258.85,183.6,0.1,0.06,0.03,230.94,1.49
1,NOAA,2017,0.54,0.75,68,69,1.0,2602.22,101.89,620.71,662.96,322.24,204.74,0.12,0.06,0.03,263.71,1.43
2,NOAA,2017,0.54,0.8,68,69,1.0,3037.1,122.69,774.99,823.77,403.95,224.02,0.13,0.06,0.04,297.37,1.33
3,NOAA,2017,0.54,0.85,68,69,1.0,3520.13,145.38,953.79,1008.54,506.0,240.82,0.15,0.06,0.04,331.39,1.23
4,NOAA,2017,0.54,0.9,68,69,1.0,4045.06,170.42,1158.72,1217.66,629.47,254.73,0.17,0.06,0.03,365.51,1.13
5,NOAA,2017,0.54,0.7,68,49,1.0,2553.12,65.93,442.04,483.0,256.43,178.06,0.09,0.06,0.03,153.62,1.13
6,NOAA,2017,0.54,0.75,68,49,1.0,2984.16,81.59,561.37,612.78,317.46,199.59,0.11,0.06,0.03,176.32,1.11
7,NOAA,2017,0.54,0.8,68,49,1.0,3456.13,99.39,706.67,765.23,396.03,219.88,0.12,0.06,0.03,199.82,1.08
8,NOAA,2017,0.54,0.85,68,49,1.0,3979.91,119.77,873.34,941.22,494.32,238.46,0.14,0.06,0.03,223.65,1.04
9,NOAA,2017,0.54,0.9,68,49,1.0,4551.55,143.12,1064.49,1141.22,613.53,255.1,0.15,0.06,0.03,247.7,1.01
10,NOAA,2017,0.54,0.7,68,29,1.0,3437.94,35.5,441.2,488.84,282.84,214.72,0.1,0.06,0.04,92.41,0.89
11,NOAA,2017,0.54,0.75,68,29,1.0,3925.24,49.02,564.0,619.8,346.81,241.84,0.11,0.06,0.04,105.94,0.89
12,NOAA,2017,0.54,0.8,68,29,1.0,4456.22,64.03,706.01,773.57,427.89,268.16,0.12,0.06,0.04,119.96,0.89
13,NOAA,2017,0.54,0.85,68,29,1.0,5035.79,84.27,869.27,951.0,528.41,293.26,0.14,0.06,0.04,134.13,0.88
